"","train_fit",""
"1",89.5540963138408,94
"5",89.6971190450889,92
"6",85.518073252506,90
"9",86.1812691468435,90
"11",82.5123535439251,89
"16",82.2040662705608,89
"17",84.0759263954946,89
"20",84.7985141960886,88
"21",83.0539763117071,88
"23",83.2659900733098,88
"24",80.4132476803113,88
"32",81.415696491126,88
"34",81.0215534901708,87
"36",83.6109873423064,87
"41",82.3605190656408,87
"42",82.4815401450524,87
"46",83.142268683241,86
"49",85.952429786343,86
"50",79.730276848851,86
"51",80.9243797373636,86
"52",82.2073513562402,86
"53",76.8719032243474,86
"57",82.9717231886365,86
"59",81.7024823327929,86
"61",81.8333607528627,86
"65",78.3055966861471,86
"66",82.4515153731663,85
"67",82.3925701850797,85
"68",79.8010329111727,85
"69",80.6946570085878,85
"73",77.5918561277217,85
"74",81.0558122960734,85
"80",84.5475593754942,85
"81",84.2733376451194,85
"86",79.111546992139,84
"88",81.1090437118792,84
"89",74.1413897858404,84
"97",79.66489880772,84
"99",82.6285435344358,84
"100",80.2766406619595,84
"102",77.275341730258,84
"103",81.9476695519011,84
"105",80.0952990194647,84
"106",80.5833599823229,84
"107",81.7219850698596,84
"108",83.6558943639687,84
"109",79.5661233112442,84
"111",80.1439751580411,84
"118",81.697159154304,84
"119",83.3563459203542,84
"122",81.1069081614871,83
"125",81.2851001549564,83
"126",80.5991765032831,83
"128",78.9846630428201,83
"130",75.7041599201568,83
"131",78.8809734495701,83
"132",81.4303492414303,83
"133",79.9108896477162,83
"134",75.0466230906769,83
"136",77.9014027127751,83
"138",80.5380337278824,83
"139",83.0164401991642,83
"143",81.838895284326,83
"144",80.332573640649,83
"147",81.4536378176215,83
"149",78.2836135053809,83
"150",81.7102591920506,83
"152",76.970011815656,83
"153",83.1196866447409,83
"154",78.5656500531633,83
"155",81.1339623151618,83
"156",82.0927593059968,83
"159",80.8098360744805,83
"162",83.8961806524338,83
"165",79.2532513530579,83
"166",80.2041909375012,83
"167",79.3542113211594,83
"170",82.2331962426664,83
"171",80.6740283515734,83
"174",79.6225840616434,83
"175",76.1276183485161,83
"179",80.20028871645,83
"180",81.3542912513733,83
"181",77.2954225535549,83
"182",80.0288481028708,83
"183",78.3575877574674,83
"184",79.837558394801,83
"185",77.9669271165158,83
"190",81.2087251688644,83
"191",78.7476482571218,83
"193",77.7798214801618,82
"194",78.3816157632249,83
"198",80.5554507132387,82
"199",79.0563611340782,82
"203",79.8513632887598,82
"204",80.3659785136915,82
"205",78.9941523720026,82
"206",77.4364846296681,82
"208",78.7951097525887,82
"210",80.1401216419031,82
"211",76.9029803794192,82
"214",76.1822304256623,82
"215",81.3234457824149,82
"218",78.5660696104112,82
"219",77.8620229011542,82
"220",79.8234434711661,82
"221",81.8094873454353,82
"222",79.2269520065773,82
"223",78.4465638222225,82
"224",75.5128969294995,82
"226",79.542553761171,82
"228",81.2972827072301,82
"229",77.5790273671749,82
"230",79.70763290565,82
"231",76.4967412068832,82
"232",78.131724306664,82
"233",78.571607367294,82
"235",77.848451073608,82
"237",78.6012811356019,82
"238",77.4887404046358,82
"239",79.5685906611467,82
"240",78.0506532594803,82
"241",78.2489982318671,82
"248",81.5965504829835,82
"249",77.57316103255,82
"250",79.0040687499518,82
"252",78.8514384063582,82
"255",81.3520732511485,82
"257",79.074870597088,82
"258",77.5212646050409,82
"260",80.2605858958967,82
"261",81.149368989687,82
"262",79.3779813162885,82
"266",82.4452482622681,82
"267",79.518570373799,82
"269",77.8878976095396,82
"274",77.0650843101296,82
"275",81.0537481542352,82
"276",73.047354210831,82
"277",78.6587116096293,82
"278",78.563086207888,82
"280",78.2402592696187,82
"282",76.9294561622503,82
"283",77.0351408754291,82
"286",80.4136693492897,82
"289",76.0627595958776,81
"290",82.7145050053554,81
"291",77.2950417592238,81
"292",76.3849443510252,81
"293",78.5576428271135,81
"294",74.634967158984,81
"296",75.2567332246602,81
"298",81.1680452797429,81
"299",77.9807051131266,81
"302",72.6664410363584,81
"306",78.929049389188,81
"307",78.8040462842322,80
"310",75.1902039299189,81
"312",79.4397212601031,81
"313",78.5375558090356,81
"316",78.7375037677866,81
"317",78.8981791765797,81
"318",79.8643991572995,81
"319",77.1485724115158,81
"320",79.3356246124081,81
"321",79.6000016891205,81
"323",81.5735311902463,81
"325",80.4846883176585,81
"327",74.0167001467576,81
"328",78.2446992165671,81
"329",77.1636746800984,81
"330",79.7014981123983,81
"331",78.2469325658553,81
"333",80.6695893459412,81
"338",79.1862764556356,81
"339",79.7826946958973,81
"340",79.2378206693473,81
"341",76.2851157903135,81
"342",80.6442101782073,81
"346",77.2487193512084,81
"347",79.5111929059613,81
"348",78.896743687273,81
"352",79.2792081447236,81
"356",79.7651954670681,81
"360",78.642565684242,81
"362",78.7876303575906,81
"363",78.4828735554255,81
"366",79.1118325164426,81
"367",78.9621235731185,81
"369",78.9302862040889,81
"370",77.174907484722,81
"371",78.3157461756782,81
"376",77.7218440500961,81
"377",75.1334463543904,81
"380",76.8744980918339,81
"382",76.6755549944347,81
"383",77.18999323757,81
"384",78.9500081983079,81
"386",77.3467895789651,81
"387",79.2477954597209,81
"388",79.187521095621,81
"389",76.8831622606666,80
"390",79.7410682670347,80
"391",79.3338346251741,81
"392",78.5651778798343,80
"398",77.6018536892362,80
"399",74.0981059234156,80
"404",75.37950042574,80
"407",78.7605711538998,80
"408",78.7997998334662,81
"409",76.7028360072773,80
"411",82.7785936739822,80
"412",76.1185624591493,80
"413",77.903865505327,80
"414",77.6784290803403,80
"415",77.8635434524048,80
"416",77.0702811373587,80
"417",79.0032575373103,80
"418",76.357036629247,80
"419",77.5725790607237,80
"424",79.5024764181792,80
"426",82.1211623741311,80
