"","Age","Years.of.Experience","Number.of.Vehicles","Gender","Married","Losses.in.Thousands"
"4398",20,3,"2","F","Single",681.5311064
"12053",33,14,"3","M","Married",358.6146054
"6253",62,42,"2","F","Married",279.6486554
"13499",41,24,"4","F","Single",422.2574058
"697",33,15,"1","M","Single",707.7098739
"8072",27,8,"3","M","Married",402.1485789
"13639",57,38,"4","F","Single",372.7775131
"8428",64,44,"3","F","Married",182.3851447
"14621",25,8,"4","F","Married",497.1707541
"6927",24,6,"2","M","Single",876.8373128
"10352",41,23,"3","M","Married",375.3914082
"8749",33,13,"3","M","Single",514.3160063
"1573",62,43,"1","F","Married",135.2248829
"13745",62,42,"4","F","Married",144.1073474
"3759",35,15,"2","M","Married",342.2152122
"643",49,30,"1","F","Married",539.8117592
"5009",47,29,"2","F","Married",399.0874425
"14577",59,38,"4","F","Single",637.1596088
"13584",66,45,"4","M","Married",191.5424114
"10579",24,6,"3","F","Married",372.0321396
"15180",68,48,"4","M","Married",131.529243
"8305",39,19,"3","M","Single",262.6699139
"9069",59,41,"3","F","Married",325.749984
"4414",65,45,"2","F","Single",234.7325107
"2246",40,23,"1","F","Married",318.7104773
"14696",17,0,"4","F","Married",336.3312774
"13769",63,45,"4","F","Single",223.7955877
"10539",23,5,"3","M","Single",1218.356458
"12137",62,44,"3","F","Single",188.9333637
"376",59,40,"1","M","Single",780.2021419
"7289",22,4,"2","M","Married",445.7715681
"11570",21,4,"3","F","Married",294.349948
"3301",43,25,"2","F","Married",534.8194156
"3533",37,20,"2","M","Single",464.0577779
"2178",19,2,"1","M","Single",336.9348452
"6322",25,8,"2","M","Single",1297.152399
"6309",30,9,"2","F","Married",317.5279985
"5624",61,42,"2","M","Married",535.2367128
"2325",54,34,"1","M","Married",198.8889181
"2117",67,47,"1","F","Single",36.34557314
"3553",67,48,"2","F","Married",127.1520722
"7103",62,42,"2","M","Married",142.1607176
"4054",19,1,"2","F","Married",245.8298788
"13075",57,40,"4","F","Single",410.8316476
"699",68,48,"1","M","Married",276.9982494
"6739",38,20,"2","M","Single",467.7065653
"12175",22,4,"3","F","Single",316.8059894
"1858",16,0,"1","F","Married",378.5785956
"3147",60,41,"2","M","Single",67.44728236
"1943",16,0,"1","M","Married",360.7064431
"11476",64,45,"3","M","Single",225.4229908
"13634",52,31,"4","F","Married",401.321637
